user_id,event,event_timestamp
heJQ98dEHtYvKz5A9tp6gA==,first-payment,2023-04-30 00:00:00.000000 UTC
gsGIcYyIb1Mr279BlqmBHg==,first-payment,2023-04-02 00:00:00.000000 UTC
X+KSr2GH/O2AE2sYJFvumw==,first-payment,2023-03-05 00:00:00.000000 UTC
n3Khofx2eEUZtQ8mhLIXAA==,first-payment,2023-04-24 00:00:00.000000 UTC
9ucUx04+bRzf+v6rCG98Bg==,first-payment,2023-02-17 00:00:00.000000 UTC
orXNN6jlz0zUGurXsRG2lg==,first-payment,2023-03-26 00:00:00.000000 UTC
2Pd64TsY01WTV+EmGSeTEw==,first-payment,2023-03-06 00:00:00.000000 UTC
FMOC42yDsdb9Bm2AAX2Y+w==,first-payment,2023-02-25 00:00:00.000000 UTC
aIeTPUxirhHBpkuMPyTzwQ==,first-payment,2023-03-03 00:00:00.000000 UTC
PyEJIeRsbVLPyF55BNbxAg==,first-payment,2023-03-03 00:00:00.000000 UTC
Jq4uRTja8YGUuSIkxt1QKQ==,first-payment,2023-03-18 00:00:00.000000 UTC
1MLcQgxrGGgjpMiDaGR5Wg==,first-payment,2023-05-01 00:00:00.000000 UTC
hGyeQALhtcTTFAV+Seew1Q==,first-payment,2023-03-05 00:00:00.000000 UTC
rGc33LZh37SnJgjVlKqIcQ==,first-payment,2023-02-09 00:00:00.000000 UTC
v4tGhhSw+9qwLC9EPX5I6w==,first-payment,2023-07-01 00:00:00.000000 UTC
kJ9M2cyGC4sXr05YX2aeXA==,first-payment,2023-04-26 00:00:00.000000 UTC
gklN5oRImOWIE2pzpEGQAg==,first-payment,2023-02-16 00:00:00.000000 UTC
vGW52XLjlwer7Vlelq8PbQ==,first-payment,2023-03-28 00:00:00.000000 UTC
24sjUcMSRDc9jPi0NN5yUA==,first-payment,2023-03-06 00:00:00.000000 UTC
UaQTXmkOH/erBZ4X8+YV/w==,first-payment,2023-03-28 00:00:00.000000 UTC
LeLcGnkU2sLZkpeuzIwD0A==,first-payment,2023-09-25 15:37:01.000000 UTC
ggg02pejd5eO2nqcxG3fWg==,first-payment,2023-04-02 00:00:00.000000 UTC
1xlMOog2UOsHT7DLk1DfZQ==,first-payment,2023-06-03 00:00:00.000000 UTC
7ww5d/enLzSF6LRaK2TZGg==,first-payment,2023-03-03 00:00:00.000000 UTC
2KG4dIJq5YpYagHK/4vpug==,first-payment,2023-10-28 15:13:40.000000 UTC
RM2NSgB5sKUQVOG3Tp3Ilg==,first-payment,2023-03-09 00:00:00.000000 UTC
9CvnamedyLK7SL2jaLMxfw==,first-payment,2023-03-09 00:00:00.000000 UTC
gIOCZgq/jRfHQUbvWCViwg==,first-payment,2023-04-17 00:00:00.000000 UTC
0ek6wELrbhJqlyh0PUio6Q==,first-payment,2023-05-25 00:00:00.000000 UTC
87UVdA4Yklci9jF/70VoKg==,first-payment,2023-04-02 00:00:00.000000 UTC
ek5VDOvmqKARuaMz1DB2hw==,first-payment,2023-03-03 00:00:00.000000 UTC
pXD8zI8HYIxRja+s8CiUGA==,first-payment,2023-02-18 00:00:00.000000 UTC
ohYsPltF+n1FbOHq5Xuz/A==,first-payment,2023-10-14 09:31:28.000000 UTC
wQBCZOFZhIjW9GdycQ3D4w==,first-payment,2023-03-24 00:00:00.000000 UTC
bsOYj23GJe79WlEklhqH/Q==,first-payment,2023-02-23 00:00:00.000000 UTC
LzTsaUzk7QBTF2HtCgNQKw==,first-payment,2023-05-15 00:00:00.000000 UTC
Bdz3hpd4KyjJUnqjyD3zyg==,first-payment,2023-02-19 00:00:00.000000 UTC
y+Kr2z8w6Kq/iKJVuxlrMw==,first-payment,2023-03-03 00:00:00.000000 UTC
/jR74IopHzUj/1F7We5LTg==,first-payment,2023-04-01 00:00:00.000000 UTC
W3+3MSG12o/qKTNoGS+2hg==,first-payment,2023-06-25 00:00:00.000000 UTC
MyVUcMGGahgpVfiewe/8eA==,first-payment,2023-03-29 00:00:00.000000 UTC
cfS7C7CIZEmT7w2Bz+hJ9w==,first-payment,2023-07-13 00:00:00.000000 UTC
9AsiBe+ifNL7R+zjW06mZg==,first-payment,2023-06-01 00:00:00.000000 UTC
Muwq59fvQMdZPU24NexMEg==,first-payment,2023-07-21 00:00:00.000000 UTC
Z1Z79oum3a5ew/JuC8I31w==,first-payment,2023-09-07 00:00:00.000000 UTC
iLmS36jAZOLyHthO4mo9lg==,first-payment,2023-02-06 00:00:00.000000 UTC
DdUfCO+qUIsNGPRS/bZukA==,first-payment,2023-03-30 00:00:00.000000 UTC
ELwDmIdM/OHhks6Ooi3dqw==,first-payment,2023-03-31 00:00:00.000000 UTC
ojbo6ps4N6gZKmI0TJIqzg==,first-payment,2023-02-21 00:00:00.000000 UTC
m1uoa7VUCjtLbW/FioTxsg==,first-payment,2023-03-30 00:00:00.000000 UTC
mN5lsNjT2j5HEXsnkidRWg==,first-payment,2023-03-06 00:00:00.000000 UTC
hJxZWdXSzOBaauxghMU/5w==,first-payment,2023-04-01 00:00:00.000000 UTC
8uQINXMGHxT6pwbnVrqYCQ==,first-payment,2023-07-03 00:00:00.000000 UTC
piIuFc4revdj7cbLGiE06A==,first-payment,2023-03-31 00:00:00.000000 UTC
J+r2mOO9MkvuEQTLfcBDrw==,first-payment,2023-03-30 00:00:00.000000 UTC
2XjJTTJQZSk/SeAhShXWjg==,first-payment,2023-07-24 00:00:00.000000 UTC
i3szOO/9ORaj/LPlaIOiRQ==,first-payment,2023-03-04 00:00:00.000000 UTC
lVssN2x2AipkZZJN55MkGg==,first-payment,2023-03-13 00:00:00.000000 UTC
qGlHlLTwyqqAr+NjVLCHAQ==,first-payment,2023-02-12 00:00:00.000000 UTC
YMWVxo8sFnonhCsRvwgV4g==,first-payment,2023-03-30 00:00:00.000000 UTC
l9svClBnqNoeRzo4iHWSyg==,first-payment,2023-03-03 00:00:00.000000 UTC
y2WfsGo6Y9H2RjWEPIR0bQ==,first-payment,2023-03-04 00:00:00.000000 UTC
N/41pTHubYeDx2NFbRXq8w==,first-payment,2023-03-02 00:00:00.000000 UTC
QGdVYKJtaR/Jk4RadSmtMA==,first-payment,2023-02-24 00:00:00.000000 UTC
UKIL3DGtF6OvoxI2O+c7uA==,first-payment,2023-02-22 00:00:00.000000 UTC
JiapdHtVNxBMNVvwR1pPpw==,first-payment,2023-04-10 00:00:00.000000 UTC
525k3Gc7ojQ0UgjcbY1cDQ==,first-payment,2023-05-02 00:00:00.000000 UTC
SJTe3/b5zoDYvBoNpNOcEw==,first-payment,2023-01-20 00:00:00.000000 UTC
VUXGy/8PNxMxbhTonyHtbA==,first-payment,2023-03-30 00:00:00.000000 UTC
Zy94gPAGfAPucGfxMaSTFg==,first-payment,2023-01-20 00:00:00.000000 UTC
txOM+Swi5IH6YLx0jBsy5A==,first-payment,2023-02-16 00:00:00.000000 UTC
xgqY1GsL/0qy8ziC8Gc6tg==,first-payment,2023-01-23 00:00:00.000000 UTC
opzjTStB163ZbdBpOTBC6A==,first-payment,2023-10-14 09:31:28.000000 UTC
7KmEE7OWLkXS73nXVFIyrQ==,first-payment,2023-01-20 00:00:00.000000 UTC
pgZ+aOVqjM4jhJ8KCQVdNQ==,first-payment,2023-01-07 00:00:00.000000 UTC
DpAIURypw2PnwnDPCgSR0Q==,first-payment,2023-07-02 00:00:00.000000 UTC
vbqdAoH5tZYzbRs+1jpe+g==,first-payment,2023-01-21 00:00:00.000000 UTC
OKqvphMDibvcvLOHjzPCxg==,first-payment,2023-01-29 00:00:00.000000 UTC
MKvMxMY/Vk6LDFVs5KdepQ==,first-payment,2023-01-31 00:00:00.000000 UTC
qneJkNLmwpCynhVR9f0gyg==,first-payment,2023-01-29 00:00:00.000000 UTC
ED17nXWr75LyzBluVGSRQA==,first-payment,2023-01-20 00:00:00.000000 UTC
pRYQQMZaBJmHs3/eE+A8nQ==,first-payment,2023-04-14 00:00:00.000000 UTC
45jINt+N3HbUF/fFitmKfQ==,first-payment,2023-03-26 00:00:00.000000 UTC
vyp1HmfWEXiI5tp7zH8g4Q==,first-payment,2023-02-25 00:00:00.000000 UTC
B+3B0jOrLoa8zURx8NnC9A==,first-payment,2023-02-23 00:00:00.000000 UTC
09/KFG5IeqfxgeVIvaG6Rg==,first-payment,2023-07-09 00:00:00.000000 UTC
QX8EgFF1kFf7iU7EcFznVw==,first-payment,2023-01-07 00:00:00.000000 UTC
oEn/Mr0AzzIFvmjhBJxWGg==,first-payment,2023-03-06 00:00:00.000000 UTC
+d28wSiugAGd1Dy6BEut8w==,first-payment,2023-01-22 00:00:00.000000 UTC
pDXEuIC4ShwfV/bT6MV7aw==,first-payment,2023-01-22 00:00:00.000000 UTC
hSTHRDbQRibi/9KMx+OGEQ==,first-payment,2023-03-18 00:00:00.000000 UTC
CSQ2HxdiStugDRRnODnZKg==,first-payment,2023-01-30 00:00:00.000000 UTC
jY3ks8NDm+IxczgtpGfC+w==,first-payment,2023-01-30 00:00:00.000000 UTC
uMOcOAp1D4owBoeTH8rdkA==,first-payment,2023-09-11 00:00:00.000000 UTC
E8E/iKHtBMVtmzSYe0zCOw==,first-payment,2023-01-04 00:00:00.000000 UTC
RAYx5RXy79ry+I/BRe7qpg==,first-payment,2023-06-05 00:00:00.000000 UTC
WpHd39P0AhV1osbE+/5zAg==,first-payment,2023-02-02 00:00:00.000000 UTC
tYnhpE+6P7g14/xNsroSUw==,first-payment,2023-02-05 00:00:00.000000 UTC
eBFDLooyIZkd4V1D88jxqg==,first-payment,2023-04-16 00:00:00.000000 UTC
gv+OCqo6MyV4xAXM3+myfg==,first-payment,2023-01-28 00:00:00.000000 UTC
